SampleID	Group
P009	group1
P026	group2
P027	group1
P028	group2
P031	group1
P046	group2
P056	group1
P057	group2
P071	group1
P072	group2
P079	group1
P080	group2
P081	group1
P084	group2
P144	group1
P145	group2
P149	group1
P154	group2
P156	group1
P170	group2
P177	group1
P182	group2
P183	group1
P184	group2
P187	group1
P197	group2
P201	group1
P208	group2
P209	group1
P210	group2
P221	group1
P223	group2
P225	group1
P226	group2
P229	group1
P232	group2
P233	group1
P234	group2
P235	group1
P236	group2
P237	group1
P239	group2
P241	group1
P242	group2
P417	group1
P418	group2
P439	group1
P440	group2
P441	group1
P442	group2
P525	group1
P526	group2
P540	group1
P552	group2
P553	group1
P556	group2
P557	group1
P559	group2
P561	group1
P562	group2
P571	group1
P572	group2
P577	group1
P578	group2
P579	group1
P580	group2
P584	group1
P585	group2
P647	group1
P654	group2
P655	group1
P659	group2
P660	group1
P661	group2
P662	group1
P665	group2
P670	group1
P671	group2
P675	group1
P676	group2
P677	group1
P678	group2
P679	group1
P682	group2
P684	group1
P686	group2
P687	group1
P688	group2
P689	group1
P693	group2
P694	group1
P718	group2
P736	group1
P744	group2
P783	group1
P784	group2
P785	group1
P786	group2
P787	group1
P788	group2
P789	group1
P790	group2
P807	group1
P818	group2
P819	group1
P820	group2
P821	group1
P822	group2
P823	group1
P824	group2
P825	group1
P826	group2
P827	group1
P828	group2
P829	group1
P830	group2
P831	group1
P832	group2
P833	group1
P834	group2
P835	group1
P836	group2
P837	group1
P838	group2
P839	group1
P840	group2
P841	group1
P842	group2
P849	group1
P850	group2
P852	group1
P853	group2
P854	group1
P855	group2
P860	group1
P861	group2
P863	group1
P864	group2
P865	group1
P866	group2
P867	group1
P868	group2
P869	group1
P870	group2
P871	group1
P872	group2
P873	group1
P874	group2
P875	group1
P876	group2
P877	group1
P878	group2
P879	group1
P880	group2
P881	group1
P882	group2
P883	group1
P884	group2
P885	group1
P886	group2
P887	group1
P888	group2
P889	group1
P890	group2
P891	group1
P892	group2
P893	group1
P894	group2
P895	group1
P896	group2
P897	group1
P898	group2
P899	group1
P900	group2
